
02_43_19_ yawError, 15.5568738803, Yaw, 3.75947838498, Height, -1.49000000954, vz, -0.00300100762271
02_43_20_ yawError, 10.2565366488, Yaw, 3.69964795304, Height, -1.37999999523, vz, -0.0182778534977
02_43_20_ yawError, -3.24364233914, Yaw, 1.08957798738, Height, -1.26999998093, vz, -0.069029200995
02_43_20_ yawError, -11.108198793, Yaw, -3.29596455491, Height, -1.16999995708, vz, -0.0670793240608
02_43_21_ yawError, -5.2092603372, Yaw, -1.95977862171, Height, -1.13999998569, vz, -0.108062078421
02_43_21_ yawError, 14.0075578305, Yaw, 1.22777953672, Height, -1.14999997616, vz, -0.116504268434
02_43_21_ yawError, 21.2123358827, Yaw, 6.12537864924, Height, -1.12999999523, vz, -0.099105693608
02_43_22_ yawError, 7.25360081936, Yaw, 4.28669822122, Height, -1.13999998569, vz, -0.108045187284
02_43_22_ yawError, -11.5177909956, Yaw, -1.63935387651, Height, -1.16999995708, vz, -0.0990478775087
02_43_22_ yawError, -14.6222276059, Yaw, -5.14138558269, Height, -1.25999999046, vz, -0.0720331593717
02_43_23_ yawError, -3.36912518178, Yaw, -2.8150047144, Height, -1.5, vz, 0.0
02_43_23_ yawError, 6.17810314993, Yaw, 1.12608841023, Height, -1.55999994278, vz, -0.0108417013874
02_43_23_ yawError, -0.099067101356, Yaw, -0.0247774656618, Height, -1.63999998569, vz, 0.0420147578606
02_43_24_ yawError, -14.5883171296, Yaw, -2.25468293449, Height, -1.7199999094, vz, 0.0660326603183
02_43_24_ yawError, -8.68226757786, Yaw, -3.07728764316, Height, -1.74000000954, vz, 0.0527384026312
02_43_24_ yawError, 7.33277670654, Yaw, 1.20072758332, Height, -1.77999997139, vz, 0.0840302447097
02_43_25_ yawError, 12.8888914972, Yaw, 3.13694481244, Height, -1.77999997139, vz, 0.0840358571207
02_43_25_ yawError, 12.357088112, Yaw, 3.48459113661, Height, -1.7199999094, vz, 0.0660244368834
02_43_25_ yawError, 11.6466429178, Yaw, 3.52132190278, Height, -1.69999992847, vz, 0.0600272488497
